,CaseNum,Date,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Species,Source,href,Species2,Activity2
11,2018.05.21,21-May-2018,2018.0,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,Injuries to lower right leg and foot,N,Invalid,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf,INVALID ENTRY,Other types of Boarding sports
12,2018.05.13.b,13-May-2018,2018.0,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,Severe bite to right forearm,N,Invalid,"C. Creswell, GSAF & K. McMurray TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf,INVALID ENTRY,Swimming
13,2018.05.13.a,13-May-2018,2018.0,Invalid,ENGLAND,Cornwall,Off Land's End,Fishing,M,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,Invalid incident,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf,INVALID ENTRY,Fishing
14,2018.05.00,May 2018,2018.0,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding sharks,F,Shallow lacerations to finger PROVOKED INCIDENT,N,"Tawny nurse shark, 2m","Perth Now, 6/30/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf,Nurse shark,Feeding sharks
15,2018.05.12,12-May-2018,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,"Minor injury, marks on board",N,Invalid,"B.Jacob, Dispatch Live, 5/12/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf,INVALID ENTRY,Surfing
16,2018.05.09,09-May-2018,2018.0,Invalid,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,"No injury, surfboard damaged",N,Shark involvement not confirmed,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf,OTHER / NOT KNOWN,Surfing
17,2018.04.30.R,Reported 30-Apr-2018,2018.0,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,Minor injury to ankle,N,Invalid,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf,INVALID ENTRY,Swimming
18,2018.04.28.b,28-Apr-2018,2018.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,M,"No injury, shark bit scuba gear",N,Tiger shark,Costa Rica Star. 4/28/2018,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf,Tiger shark,Diving
19,2018.04.28.a,28-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,M,"No injury, knocked off board by shark",N,Invalid,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf,INVALID ENTRY,Surfing
20,2018.04.25.b,25-Apr-2018,2018.0,Invalid,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,No injury,N,Questionable,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf,INVALID ENTRY,Surfing
21,2018.04.25.a,25-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,"No injury, knocked off board by shark",N,3 m shark,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf,OTHER / NOT KNOWN,Surfing
22,2018.04.24,24-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,"No injury, shark struck his leg",N,"White shark, 3.5 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf,White shark,Surfing
23,2018.04.23,23-Apr-2018,2018.0,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,M,5-inch cut to hand,N,Tiger shark,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.23-Maldives.pdf,Tiger shark,Fishing
24,2018.04.22,22-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,"No injury, shark bit hole in ski",N,"White shark, 2.5 m","Africa News Agency, 4/22/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.22-PlettenbergBay.pdf,White shark,Skiing
25,2018.04.19,19-Apr-2018,2018.0,Unprovoked,USA,Hawaii,"Shipwreck’s Beach, Keoneloa Bay, Kauai",Body boarding,M,Lacerations to right lower leg,N,6' shark,"The Garden Island, 4/19/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.19-McWilliams.pdf,OTHER / NOT KNOWN,Other types of Boarding sports
26,2018.04.15.d,15-Apr-2018,2018.0,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,Lacerations to foot and ankle,N,Juvenile bull shark,"Straits Times, 4/16/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.d-Thailand.pdf,Bull shark,Swimming
27,2018.04.15.c,15-Apr-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",UNKNOWN,Invalid,"Globo, 4/16/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.c-deMelo.pdf,INVALID ENTRY,Swimming
28,2018.04.15.b,15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,Laceration to right thigh,N,Invalid,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf,INVALID ENTRY,Surfing
29,2018.04.15.a,15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,Lacerations to legs,N,Invalid,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf,INVALID ENTRY,Surfing
30,2018.04.14,14-Apr-2018,2018.0,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,No Injury. Shark swam away with the surf board,N,Tiger shark,"Tribune242,",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.14-Rowan.pff,Tiger shark,Surfing
31,2018.04.10.R,Reported 10-Apr-2018,2018.0,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,Shark involvement not confirmed,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.10.R-Paz.pdf,OTHER / NOT KNOWN,Fishing
32,2018.04.09,09-Apr-2018,2018.0,Unprovoked,NEW CALEDONIA,,"Magenta Beach, Noumea",Windsurfing,,"No injury, shark bit board",N,2 m shark,"Les Nouvelles Caledoniennes, 4/10/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.09-Magenta.pdf,OTHER / NOT KNOWN,Surfing
33,2018.04.05,05-Apr-2018,2018.0,Unprovoked,BAHAMAS,,Bimini,Swimming,M,"2 puncture wounds to left foot, abrasion to right foot",N,Bull shark,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.05-McConnell.pdf,Bull shark,Swimming
34,2018.04.03,03-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,Lacerations to left knee & lower leg,N,White shark,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.03-StFrancisBay.pdf,White shark,Surfing
35,2018.03.31,31-Mar-2018,2018.0,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,Injuries to right leg & hand,N,"Tiger shark, 12'","Khon2, 3/31/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.31-Hawaii.pdf,Tiger shark,Paddleboarding
36,2018.03.14,14-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,Minor injuries to legs,N,Wobbegong shark,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.14-WatermansBay.pdf,Wobbegong shark,Wading
37,2018.03.09.b,9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,"No injury, said to have been charged by sharks several times",N,3.5 m shark,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.b-Crossland.pdf,OTHER / NOT KNOWN,Swimming
38,2018.03.09.a,9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,"Minor injury, ankle grazed",N,1.8 m shark,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.a-Weight.pdf,OTHER / NOT KNOWN,Surfing
39,2018.02.24,24-Feb-2018,2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,M, The shark & man simply collided; neither were injured,N,Blacktip shark,"International Business Times, 3/1/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.24-Polly.pdf,Blacktip shark,Diving
40,2018.02.23,23-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,Laceratons to right leg & foot,N,"Juvenile white shark,  2.7 to 3.2 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.23-Shurapey.pdf,White shark,Swimming
41,2018.02.17,18-Feb-2018,2018.0,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,M,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Invalid,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.17-Palmer.pdf,INVALID ENTRY,Fishing
42,2018.02.15,15-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,Puncture wounds to leff foot & lower leg,N,"Bull shark, 2 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.15-Hoare.pdf,Bull shark,Walking
43,2018.02.14,14-Feb-2018,2018.0,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,F,"Collision / No injury, no attack",N,Possibly a wobbegong,"Sunshine Coast Daily, 2/15/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.14-Babd.pdf,OTHER / NOT KNOWN,Swimming
44,2018.02.11,11-Feb-2018,2018.0,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning fish,F,Lacerations to 4 toes of right foot,N,"Injury believed caused by an eel, not a shark",TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.11-Rosilda.pdf,OTHER / NOT KNOWN,Cleaning fish
45,2018.02.03,03-Feb-2018,2018.0,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,M,Injuries to right foot,N,Galapagos shark?,"The Standard (UK), 2/6/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.03-Newman.pdf,OTHER / NOT KNOWN,Snorkeling
46,2018.02.01,01-Feb-2018,2018.0,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,M,"No injury no attack. This is considerd an ""encounter""",N,2m shark,"The West Australian, 2/2/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.01-Martin.pdf,OTHER / NOT KNOWN,Fishing
47,2018.01.28,28-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,NOT SPECIFIED,M,Injuries to right leg,N,Bull shark,"ABC.net.au, 01/28/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.28-ConeBay.pdf,Bull shark,INVALID
48,2018.01.21,21-Jan-2018,2018.0,Unprovoked,NEW CALEDONIA,,Nouville,Spearfishing,M,Injuries to abdomen and arm,N,"Bull shark, 3 m ",TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.21-NewCaledonia.pdf,Bull shark,Fishing
49,2018.01.14,14-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,M,Severe laceration to left forearm,N,Grey reef shark. 2 m,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.14-Vickers.pdf,Reef shark,Diving
50,2018.01.13,13-Jan-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,M,"No injury, shark took his swimfin",N,"White shark, 3.5 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.13-Stewart.pdf,White shark,Diving
51,2018.01.12,12-Jan-2018,2018.0,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,Minor injury to left forearm,N,small shark,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.12-Bulhoes.pdf,Other small shark,Surfing
52,2018.01.05,05-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,Foot bitten,N,Wobbegong shark?,"Perth Now, 1/6/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.05-Justin.pdf,Wobbegong shark,Surfing
53,2017.12.31,31-Dec-2017,2017.0,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,Severe lacerations to left thigh & knee,N,Tiger shark,"J. Howard, Surfling Now, 1/2/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.31-Mariano.pdf,Tiger shark,Surfing
54,2017.12.30,30-Dec-2017,2017.0,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,Foot bitten,N,Invalid,R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.30.Jones.pdf,INVALID ENTRY,Surfing
55,2017.12.21,21-Dec-2017,2017.0,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,M,"Minor injury to thigh, PROVOKED INCIDENT",N,Juvenile nurse shark,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.21-Harun.pdf,Nurse shark,Fishing
56,2017.12.09,09-Dec-2017,2017.0,Unprovoked,BAHAMAS,,,Snorkeling,F,Minor injury to arm,N,Nurse shark. 5',"Daily Star, 12/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.09-Carroll.pdf,Nurse shark,Snorkeling
57,2017.11.30.b,30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba Diving,M,Serious injury to leg,N,"Tiger shark, female",R. Arauz,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.b-Jimenez.pdf,Tiger shark,Diving
58,2017.11.30.a,30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,F,FATAL,Y,"Tiger shark, female",R. Arauz,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.a-Bhandari.pdf,Tiger shark,Diving
59,2017.11.25.R,Reported 25-Nov-2017,2017.0,Sea Disaster,LIBYA,, Gars Garabulli,2 boats capsized,,FATAL,Y,Some drowned but other may have been killed by blue sharks,"TG Com 24, 11/25/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.25.R-Libya.pdf,DROWNED,Boating
60,2017.11.24,24-Nov-2017,2017.0,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,Right leg bitten,N,"White shark, 4.6 m","R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.24-Azatian.pdf,White shark,Fishing
61,2017.11.18,18-Nov-2017,2017.0,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,Heel bitten,N,Invalid,"Florida Today, 11/21/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.18-Anderson.pdf,INVALID ENTRY,Surfing
62,2017.11.13.R,Reported 13-Nov-2017,2017.0,Unprovoked,,,,Surfing,M,Puncture wounds to feet,N,Invalid,Instagram,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13.R-Timur.pdf,INVALID ENTRY,Surfing
63,2017.11.13,13-Nov-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,Puncture wounds to left shoulder,N,2 m shark,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13-Fry.pdf,OTHER / NOT KNOWN,Surfing
64,2017.11.04,04-Nov-2017,2017.0,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,Night bathing,M,FATAL,Y,Tiger shark,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.04-Cuba.pdf,Tiger shark,Swimming
65,2017.10.31.R,Reported 31-Oct-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,Calf injured,N,Cookiecutter shark,"Townsville Bulletin, 10/31/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21.R-Tolley.pdf,OTHER / NOT KNOWN,Snorkeling
66,2017.10.28,28-Oct-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,Minor injury to foot,N,"Wobbegong shark, 1 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.28-Birubi.pdf,Wobbegong shark,Surfing
67,2017.10.26,26-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,No injury but shark bit SUP,N,Invalid,"Hawaii News Now, 10/27/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.26-Oahu.pdf,INVALID ENTRY,Paddleboarding
68,2017.10.23.c,23-Oct-2017,2017.0,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,M,Minor injury to foot,N,Invalid,"J. LeBlanc, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.c-Mauritius.pdf,INVALID ENTRY,Swimming
69,2017.10.23.b,23-Oct-2017,2017.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing ,M,Lacerations to left foot,N,Invalid,"WPBF News, 10/24/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.b-Hartl.pdf,INVALID ENTRY,Surfing
70,2017.10.23.a,23-Oct-2017,2017.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,Severe lacerations to left hand & wrist,N,Invalid,"Palm Beach Post, 11/1/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.a-Peteka.pdf,INVALID ENTRY,Swimming
71,2017.10.22,22-Oct-2017,2017.0,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking / Fishing,F,Minor injuries,N,"White shark, 4.5 m","Nine News, 10/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.22-Williams.pdf,White shark,Fishing
72,2017.10.21,21-Oct-2017,2017.0,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,"No injury, shark shook kayak x3 ",N,2 m shark,"New Zealand Herald, 10/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21-Lomas.pdf,OTHER / NOT KNOWN,Kayaking
73,2017.10.18,18-Oct-2017,2017.0,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,M,Puncture wounds & lacerations to foot,N,"Spinner shark, 4 to 5 feet","WPTV, 10/19/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.18-Iribam.pdf,Spinner shark,Swimming
74,2017.10.09,09-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,Lacerations to left hand,N,"Tiger shark, 8 to 10 feet","Hawaii News Now, 10/10/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.09-Milan.pdf,Tiger shark,Surfing
75,2017.10.05,05-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"Kama‘ole Beach Park, Maui ",Snorkeling,F,Abrasions,N,8' shark,"Maui Now, 10/5/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.05-Hawaii.pdf,OTHER / NOT KNOWN,Snorkeling
76,2017.10.01,01-Oct-2017,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Scuba Diving,M,FATAL,UNKNOWN,Death may have been due to drowning,"All Africa, 10/11/2017 ",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.01-Fick.pdf,DROWNED,Diving
77,2017.09.25.b,25-Sep-2017,2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,Lacerations to lower left leg and foot,N,5' shark,"News4Jax, 9/26/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.b-White.pdf,OTHER / NOT KNOWN,Surfing
78,2017.09.25.a,25-Sep-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,"No injury, board damaged by shark",N,"White shark, 3.5 m","Stab Magazine, 9/26/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.a-Vissers.pdf,White shark,Surfing
79,2017.09.24.b,24-Sep-2017,2017.0,Invalid,USA,New York,Rockaway,Surfing,M,"Lacerations to right ankle, foot & toe",UNKNOWN,Questionable,"S. Curatolo-Wageman, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.b-Behrend.pdf,INVALID ENTRY,Surfing
80,2017.09.24.a,24-Sep-2017,2017.0,Unprovoked,USA,Florida,Fort Worth,Surfing,M,Laceration to upper arm,N,4' to 5' shark,"Sun Sentinel, 9/24/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.a-FortWorth.pdf,OTHER / NOT KNOWN,Surfing
81,2017.09.20,20-Sep-2017,2017.0,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,Minor lacerations to sole of left foot,N,Invalid,"WPTV, 9/25/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.20-Inniss.pdf,INVALID ENTRY,Surfing
82,2017.09.16.b,16-Sep-2017,2017.0,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,Body surfing,M,Lacerations to right foot,N,"Porbeagle, 1.5 m",Turismo La Aldea,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.b-GrandCanary.pdf,OTHER / NOT KNOWN,Surfing
83,2017.09.16.a,16-Sep-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Lacerations to left foot,N,Invalid,"Orlando Sentinel, 9/16/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.a-Volusia.pdf,INVALID ENTRY,Surfing
84,2017.09.15.b,15-Sep-2017,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,Scuba Diving,M,"FATAL, but death was probably due to drowning",UNKNOWN,Invalid,"Ground Up, 9/20/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.b-Love.pdf,INVALID ENTRY,Diving
85,2017.09.15.a,15-Sep-2017,2017.0,Invalid,SAMOA, Upolu Island,Nofoali’i,Fishing,M,Injuries to hands and legs,N,Invalid,"Samoa Observer, 9/16/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.a-Samoa.pdf,INVALID ENTRY,Fishing
86,2017.09.14,Sep-2017,2017.0,Boat,AUSTRALIA,Westerm Australia,Esperance,Fishing,,"sharks rammed boats, no injury to occupants",N,"White shark, 3.5m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.14-EsperanceBoats.pdf,White shark,Fishing
